Keyword;Currency;Avg. monthly searches;Mudança em três meses;Mudança YoY;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Oct 2020;Searches: Nov 2020;Searches: Dec 2020;Searches: Jan 2021;Searches: Feb 2021;Searches: Mar 2021;Searches: Apr 2021;Searches: May 2021;Searches: Jun 2021;Searches: Jul 2021;Searches: Aug 2021;Searches: Sep 2021
liso leve e solto lola spray;BRL;90;-18%;29%;Alto;100;0,4;0,98;;;;;;50;40;50;50;50;70;90;70;170;110;70;90
shampoo danos vorazes lola;BRL;50;0%;∞;Alto;100;0,49;1,3;;;;;;0;0;0;0;50;40;50;70;70;90;110;90
meu cacho minha vida mascara;BRL;140;-21%;-21%;Alto;100;0,48;1,9;;;;;;110;140;210;140;110;170;170;140;90;140;90;110
antifrizz lola;BRL;480;0%;50%;Alto;100;0,39;1,21;;;;;;390;390;480;390;480;590;590;480;390;480;480;480
liso leve and solto spray resenha;BRL;30;-33%;-33%;Alto;93;0,14;1,27;;;;;;30;10;20;20;40;30;30;30;30;30;20;20
creme meu cacho minha vida;BRL;90;-36%;29%;Alto;100;0,41;1,55;;;;;;70;70;70;70;70;70;110;70;110;140;70;90
lola meus cachos;BRL;20;0%;0%;Alto;100;0,45;0,89;;;;;;10;30;10;10;10;20;10;20;30;20;20;20
spray antifrizz liso leve e solto lola cosmetics;BRL;10;0%;-75%;Alto;100;;;;;;;;20;10;20;10;40;30;10;10;10;10;10;10
lola liso leve and solto spray antifrizz;BRL;90;0%;-43%;Alto;100;0,44;1,2;;;;;;140;110;140;170;210;90;110;70;70;40;50;40
booster danos vorazes;BRL;90;-21%;∞;Alto;100;0,44;1,36;;;;;;0;0;0;70;90;90;110;140;140;140;140;110
spray antifrizz lola liso leve and solto resenha;BRL;50;0%;-56%;Alto;97;0,43;1,2;;;;;;70;40;40;50;90;70;70;50;30;40;110;40
spray lola liso leve e solto resenha;BRL;50;267%;175%;Alto;100;0,22;1,48;;;;;;40;70;50;40;70;50;40;30;40;30;70;110
lola liso leve and solto spray antifrizz resenha;BRL;10;0%;-67%;Alto;96;;;;;;;;10;10;20;10;10;20;10;10;10;10;10;10
kit lola meu cacho minha vida;BRL;170;-48%;-21%;Alto;100;0,33;1,11;;;;;;90;170;170;110;140;210;320;210;140;210;140;110
lola liso leve and solto spray resenha;BRL;50;89%;1600%;Alto;100;0,26;1,12;;;;;;10;10;10;30;30;30;70;50;50;90;50;170
meu cacho minha vida kit;BRL;50;-20%;33%;Alto;100;0,38;1,64;;;;;;40;70;40;20;30;50;70;50;50;50;30;40
meus cachos minha vida lola;BRL;50;-40%;-57%;Alto;100;0,39;0,91;;;;;;70;50;70;50;70;70;40;30;50;50;50;30
spray lola antifrizz livre leve and solto;BRL;20;200%;50%;Alto;100;0,31;1,13;;;;;;10;10;30;30;20;10;40;10;30;10;40;30
spray lola cosmetics;BRL;90;-18%;125%;Alto;100;0,43;1,59;;;;;;50;40;90;110;70;70;110;70;90;110;70;90
segura essa barra lola;BRL;20;-50%;-67%;Alto;100;0,34;0,87;;;;;;20;70;20;30;10;20;20;30;10;20;20;10
leave in liso leve and solto;BRL;10;300%;∞;Alto;100;0,35;1,12;;;;;;0;0;0;0;0;40;20;20;20;10;20;40
lola danos vorazes comprar;BRL;70;250%;∞;Alto;100;0,46;1,51;;;;;;0;0;0;0;210;140;110;90;20;20;110;70
